# Frequency (Hz), Power (W m^-2 Hz^-1)
1.784478916666666562e+14,1.884503071788417206e-12
1.785541739130434688e+14,1.950340237745407366e-12
1.786605828367103750e+14,1.912703376280399704e-12
1.787671186642814375e+14,1.938848500718453927e-12
1.788737816229116875e+14,1.928666330358450966e-12
1.789805719402985000e+14,1.945924891312642905e-12
1.790874898446833750e+14,1.963138130446230846e-12
1.791945355648535312e+14,1.965461496299550626e-12
1.793017093301435312e+14,1.919284770265968823e-12
1.794090113704368438e+14,1.983304725230946708e-12
1.795164419161676562e+14,2.006886367368188191e-12
1.796240011983223438e+14,1.945574687505981347e-12
1.797316894484412188e+14,1.937861270145762785e-12
1.798395068986202812e+14,1.900407457148238096e-12
1.799474537815125938e+14,1.611955345320928739e-12
1.800555303303303125e+14,1.905559631356703674e-12
1.801637367788461562e+14,1.985564500358444709e-12
1.802720733613950625e+14,1.995355649340584788e-12
1.803805403128760312e+14,1.963748746874746526e-12
1.804891378687537500e+14,2.003811111685805434e-12
1.805978662650602188e+14,1.996527464343349705e-12
1.807067257383966250e+14,1.975118848186634620e-12
1.808157165259348438e+14,2.005382092700944627e-12
1.809248388654194062e+14,1.979426441641838065e-12
1.810340929951690625e+14,1.966152530228095604e-12
1.811434791540785312e+14,1.975199171788371341e-12
1.812529975816202812e+14,1.915505644775093968e-12
1.813626485178463438e+14,1.974256181888338396e-12
1.814724322033898125e+14,1.980334288996690377e-12
1.815823488794669688e+14,1.844008033084007860e-12
1.816923987878787812e+14,1.988982491347397667e-12
1.818025821710127188e+14,1.928431850710533960e-12
1.819128992718446562e+14,1.907612716794896767e-12
1.820233503339405000e+14,2.002838917815604136e-12
1.821339356014580625e+14,1.911118973246485601e-12
1.822446553191489062e+14,1.915025707551322635e-12
1.823555097323600938e+14,1.959307511598574108e-12
1.824664990870358750e+14,1.885429773253336087e-12
1.825776236297198438e+14,1.930620702539488210e-12
1.826888836075563750e+14,1.917580714722316037e-12
1.828002792682926562e+14,1.876218140217524180e-12
1.829118108602806562e+14,1.918464960516118295e-12
1.830234786324786250e+14,1.914603211665851943e-12
1.831352828344532500e+14,1.972245186234805292e-12
1.832472237163814062e+14,2.042598149150236653e-12
1.833593015290520000e+14,2.025210594190464538e-12
1.834715165238677812e+14,2.015252977711668110e-12
1.835838689528475000e+14,2.011541766204138953e-12
1.836963590686274375e+14,2.056787199896803728e-12
1.838089871244635000e+14,2.052936398286577631e-12
1.839217533742331250e+14,2.036948828112280229e-12
1.840346580724370625e+14,2.076229792812199744e-12
1.841477014742014688e+14,2.072797417205205610e-12
1.842608838352796562e+14,2.066013426595274717e-12
1.843742054120540938e+14,2.054302765148281961e-12
1.844876664615384375e+14,2.035481597238847529e-12
1.846012672413793125e+14,2.074588575273631522e-12
1.847150080098582812e+14,2.070013552875970080e-12
1.848288890258939375e+14,2.025515718744332711e-12
1.849429105490438125e+14,1.995321955864546499e-12
1.850570728395061562e+14,1.994436604539264873e-12
1.851713761581222812e+14,2.047232449556819965e-12
1.852858207663782500e+14,2.066098735545908920e-12
1.854004069264069062e+14,1.988364891487697798e-12
1.855151349009900938e+14,1.950801481470224292e-12
1.856300049535603750e+14,2.037563916968184797e-12
1.857450173482032188e+14,2.012622924356556107e-12
1.858601723496590000e+14,2.000149388114360293e-12
1.859754702233250312e+14,1.943496309303418927e-12
1.860909112352575938e+14,1.907929235464623041e-12
1.862064956521739062e+14,1.828349751213554573e-12
1.863222237414543125e+14,1.907426354534909863e-12
1.864380957711442812e+14,1.927049504093928965e-12
1.865541120099564375e+14,1.949978942198739622e-12
1.866702727272727188e+14,2.017756627753457418e-12
1.867865781931464062e+14,1.977179000613818189e-12
1.869030286783042500e+14,1.904944411643604202e-12
1.870196244541484688e+14,1.865541923839858639e-12
